	小分類名
141103	來福
141104	メルシー
141105	ピーエーエス
141106	バーンアップコーポレーション
141107	ボディカ
141108	モリショウ
141109	ネスマ
141110	（同）健喜
141111	ウインズ
141112	輝石
141113	エンジェル
141114	はっこう屋
141115	ウイングサポート
141116	ライザップ
141117	木岩商事
141118	トップラン
141119	神戸メディケア
141120	ビタル
141121	ＳＨＫ
141122	松本金型
141123	ジョイ・インターナショナル
141124	Ｍ’ｓ　ＡＮＧＥＬ
141125	エアル・ファースト
141126	一興
141127	1000PER
141128	ワン・イレブン
141129	ウエダ美粧堂
141130	アズマゴム商会
141131	KTT
141132	ピュアワールド
141133	中京医薬品
141134	ライズ
141135	イヌカイ
141136	アースラップ
141137	ギリオン
141138	健康催事1
141139	健康催事2
141140	健康催事3
141141	健康催事4
141142	健康催事5
141143	カラダ塾ショップ物販
141144	施術
141145	施術回数券
141146	施術その他
141147	ココロカ
141194	その他からだ塾
141800	医薬品(濫用成分のみ)
141801	総合感冒薬(濫用性）
141802	鎮咳薬(濫用性）
141803	解熱鎮痛剤(濫用性）
142000	介護関連用品
142001	介護用品
142002	入浴・排泄関連
142003	シルバーカー・外出
142004	杖
142005	ベッド・食事関連
142006	衣類・ねまき
142007	シューズ
142094	その他介護用品
142100	介護関連
142101	介護用品
142102	補聴器
142194	その他介護関連
146000	特務商品：ヘルスケア
146094	その他ヘルスケア
146095	特務商品：アウトレット
146096	特務商品：地域スポット
146097	特務商品：評価損A
146098	特務商品：評価損B
146099	クラス
148000	UNY統合用非課税
148100	UNY統合用8％外税
148200	UNY統合用8％内税
148300	調剤　課税
148400	UNY統合用10％内税
150200	メイクアップ
150201	アイラッシュ
150202	二重メイク
150203	マスカラ
150204	アイライナー
150205	アイブロウ
150206	アイカラー
150207	ファンデーション
150208	フェイスパウダー
150209	化粧下地
150210	コンシーラ
150211	チークカラー
150212	リップカラー
150214	韓国コスメメイク
150288	CBDメイクアップ
150292	NPPその他メイクアップ
150293	ネイルサロン（テナント）
150294	その他メイクアップ
150295	メイクアップ　アウトレット
150296	メイクアップ　地域スポット
150297	メイクアップ　評価損A
150298	メイクアップ　評価損B
150299	クラス
150400	ブランドコスメ
150401	メイベリンニューヨーク
150402	ロレアルパリ
150403	レブロン
150404	リンメル
150405	エクセル
150406	エテュセ
150407	エンジェルハート
150408	LB
150409	キス
150410	エチュード
150411	キスミーフェルム
150412	ミニュム
150413	チャコット
150414	パーフェクトダイアリー
150415	ちふれ
150416	H&Mビューティー
150417	ちふれ（AYAKA)
150418	セザンヌ
150419	スウィーツ
150420	キャンメイク
150422	エッシー
150423	エクスボーテ
150424	韓国コスメブランドメイク
150425	キレイアンドコー
150426	イロミッケ
150427	PA・オハナ
150493	NPPその他ブランドコスメ
150494	その他ブランドコスメ
150495	ブランドコスメ　アウトレット
150496	ブランドコスメ　地域スポット
150497	ブランドコスメ　評価損A
150498	ブランドコスメ　評価損B
150499	クラス
150500	資生堂
150501	マジョリカマジョルカ
150502	インテグレート
150503	インテグレートグレイシィ
150504	マキアージュ
150505	エリクシール
150506	リバイタル
150507	HAKU
150508	アヴェンヌ
150509	＆フェイス
150510	ｄプログラム
150511	資生堂健康食品
150512	プリオール
150513	資生堂化粧小物
150514	フィティット
150515	アクアレーベル（UNY）
150516	アネッサ（UNY）
150593	NPP資生堂その他
150594	資生堂その他
150595	資生堂　アウトレット
150596	資生堂　地域スポット
150597	資生堂　評価損A
150598	資生堂　評価損B
150599	クラス
150600	カネボウ
150601	ケイト
150602	メディア
150603	コフレドール
150604	ブランシール
150605	スイサイ
150606	デュウ
150607	ドルティア
150608	フリープラス
150609	アクアリーフ
150610	DEWボーテ
150611	リクイール
150612	DEWスペリア
150613	ミラノコレクション
150614	カネボウ化粧小物
150615	トワニー
150616	コスメット
150617	アリー（UNY）
150618	トワニーミラコレ(UNY)
150693	NPPカネボウその他
150694	カネボウその他
150695	カネボウ　アウトレット
150696	カネボウ　地域スポット
150697	カネボウ　評価損A
150698	カネボウ　評価損B
150699	クラス
150700	コーセー
150701	ヴィセリシェ
150702	ファシオ
150703	エルシア
150704	ハッピーバスデー
150705	ネイチャー＆コー
150706	エスプリーク
150707	雪肌精
150708	グランデーヌ
150709	スティーブンノル(UNY)
150710	インフィニティ
150711	シュープレム
150712	ONE BY KOSE
150713	アスタブラン
150714	肌極
150715	カルテクリニティ
150716	ルシェリ
150717	清肌晶
150718	コスメニエンス
150720	メイクキープ
150793	NPPコーセーその他
150794	コーセーその他
150795	コーセー　アウトレット
150796	コーセー　地域スポット
150797	コーセー　評価損A
150798	コーセー　評価損B
150799	クラス
150800	ソフィーナ
150801	オーブ
150802	プリマヴィスタ
150803	ソフィーナボーテ
150804	グレイスソフィーナ
150805	ソフィーナジェンヌ
150806	アルブラン
150807	iP
150808	花王化粧小物
150893	ソフィーナその他
150894	ソフィーナその他
150895	ソフィーナ　アウトレット
150896	ソフィーナ　地域スポット
150897	ソフィーナ　評価損A
150898	ソフィーナ　評価損B
150899	クラス
150900	マックスファクター
150901	マックスファクター
150902	イリューム
150903	SK-Ⅱ
150904	SK-Ⅱプレミアム
150993	NPPマックスファクターその他
150994	マックスファクターその他
150995	マックスファクター　アウトレット
150996	マックスファクター　地域スポット
150997	マックスファクター　評価損A
150998	マックスファクター　評価損B
150999	クラス
151000	コスメ処分品
151100	化粧品コンセ
151101	DHC（カウンセリング）
151102	マリブウィッグ（通常）
151103	マリブウィッグ（エクステ）
151104	マリブウィッグ（割引品）
151105	マリブ　アウトレット化粧品
151106	ハウスオブローゼ（カウンセリング）
151107	メイコー化粧品
151108	ヒロセヤ
151109	さかえや化粧品（多治見）
151110	ナオアート（通常）
151111	ナオアート（催事）
151194	その他化粧品コンセ
151200	制度化粧品その他
151201	アクセーヌ
151202	カバーマーク
151293	NPPその他制度化粧品
151294	その他制度化粧品
152000	制度品健康食品
152001	資生堂ビューティーフーズPP
152002	資生堂ビューティーフーズNPP
152003	ソフィーナビューティーフーズ
152004	コーセービューティーフーズ
152094	その他制度品健康食品
156000	特務商品：コスメティックス
156094	その他コスメティックス
156095	特務商品：アウトレット
156096	特務商品：地域スポット
156097	特務商品：評価損A
156098	特務商品：評価損B
156099	クラス
158000	UNY統合用非課税
158100	UNY統合用8％外税
158200	UNY統合用8％内税
158300	UNY統合用10％外税
158400	UNY統合用10％内税
166000	特務商品：カーペンター＆ツール
166095	特務商品：アウトレット
166096	特務商品：地域スポット
166097	特務商品：評価損A
166098	特務商品：評価損B
166099	クラス
168000	UNY統合用非課税
168100	UNY統合用8％外税
168200	UNY統合用8％内税
168300	UNY統合用10％外税
168400	UNY統合用10％内税
176000	特務商品：ワーク
180100	自動車販売
180102	中古車
180103	下取・買取車両
180104	自動車オプション
180105	ピットサービス
180200	カーピット
180300	ピットオイル
180400	レンタカー
190100	自転車
190101	２６型軽快・変速ギア＋オートライト
190102	２６型軽快・ギアなし
190103	２６型軽快・変速ギアつき
190104	２６型軽快・ギアなし+オートライト
190105	２７型軽快・変速ギア＋オートライト
190106	２７型軽快・ギアなし
190107	２７型軽快・変速ギアつき
190108	２７型軽快・ギアなし+オートライト
190109	極太タイヤ・軽快車
190117	２４型以下軽快車
190118	２８型以上軽快車
190194	その他軽快車
190195	軽快車アウトレット
190196	軽快車　地域スポット
190197	軽快車評価損A
190198	軽快車評価損B
190199	クラス
190200	シティ車
190201	２６型シティ・変速ギア＋オートライト
190202	２６型シティ・ギアなし
190203	２６型シティ・変速ギアつき
190204	２６型シティ・ギアなし+オートライト
190205	２７型シティ・変速ギア＋オートライト
190206	２７型シティ・ギアなし
190207	２７型シティ・変速ギアつき
190208	２７型シティ・ギアなし+オートライト
190209	極太タイヤ・シティ
190217	２４型以下シティ
190218	２８型以上シティ
190294	その他シティ車
190295	シティ車アウトレット
190296	シティ車　地域スポット
190297	シティ車評価損A
190298	シティ車評価損B
190299	クラス
190300	折畳み自転車
190301	折畳／小径車・ギアなし
190302	折畳／小径車・変速ギアつき
190303	折畳／小径車・変速ギア＋オートライト
190304	カゴ付・折畳／小径車・ギアなし
190305	カゴ付・折畳／小径車・変速つき
190306	カゴ付・折畳／小径・変速＋オートライト
190307	極太タイヤ・折畳／小径車
190308	カーブランド折畳／小径車
190309	ブランド折畳／小径車
190310	１６型　折畳／小径車
190311	１４型以下　折畳／小径車
190312	折畳／小径その他
190394	その他折畳み自転車
190395	折畳み自転車アウトレット
190396	折畳み自転車　地域スポット
190397	折畳み自転車評価損A
190398	折畳み自転車評価損B
190399	クラス
190400	電動アシスト/モビリティ
190401	電動アシスト/軽快シティ・パナソニック
190402	電動アシスト/軽快シティ・ヤマハ
190403	電動アシスト/軽快シティ・ブリヂストン
190404	電動アシスト/軽快シティ・ノンブランド
190405	スポーツ電動車・ＮＢ
190406	スポーツ電動車・ノンブランド
190407	小径電動車・ＮＢ
190408	小径電動車・ノンブランド
190409	子乗せ電動車・ＮＢ
190410	子乗せ電動車・ノンブランド
190411	子乗せ自転車　電動なし
190412	大人用三輪車
190413	モビリティ/特定小型/キックボード
190414	モビリティ/特定小型/電動バイク
190415	モビリティ/一般原付/電動バイク
190494	その他電動自転車
190495	電動自転車アウトレット
190496	電動自転車　地域スポット
190497	電動自転車評価損A
190498	電動自転車評価損B
190499	クラス
190500	スポーツ車
190501	ファットバイク・一般モデル
190502	ファットバイク・カーブランド
190503	ファットバイク・ブランド車
190504	マウンテンバイク・一般モデル
190505	マウンテンバイク・カーブランド
190506	マウンテンバイク・ブランド車
190507	クロスバイク・一般モデル
190508	クロスバイク・カーブランド
190509	クロスバイク・ブランド車
190510	クロスバイク・カゴ付モデル
190511	ロードバイク
190512	ビーチクルーザー
190513	グラベルクロス
190594	その他スポーツ車
190595	スポーツ車アウトレット
190596	スポーツ車　地域スポット
190597	スポーツ車評価損A
190598	スポーツ車評価損B
190599	クラス
190600	子供自転車
190601	キッズサイクル18型以下
190602	ジュニア 20型以上 軽快シティタイプ
190603	ジュニア 20型以上 スポーツタイプ
190604	一輪車・三輪車
190605	ペダルなし自転車
190694	その他子供自転車
190695	子供自転車アウトレット
190696	子供自転車　地域スポット
190697	子供自転車評価損A
190698	子供自転車評価損B
190699	クラス
190700	他自転車
190701	子供乗せ自転車
190702	自転車地域スポット
190703	自転車評価損　A
190704	自転車評価損　B
190705	クラス
190706	リユース自転車A・軽快シティ
190707	リユース自転車B・スポーツ
190708	リユース自転車C・折畳／小径車
190709	リユース自転車D・電動自転車
190710	リユース自転車E・キッズジュニア
190795	他自転車アウトレット
190796	他自転車　地域スポット
190797	他自転車評価損A
190798	他自転車評価損B
190799	クラス
190800	自転車パーツ
190801	取寄せ部品関連
190802	自転車用品
190803	ポンプ
190804	自転車ライト
190805	ロック
190806	自転車バスケット
190807	補修・パーツ
190808	スタンド・キャリア
190809	カバー
190810	タイア・チューブ
190811	大人ヘルメット
190812	こどもヘルメット
190813	ブランド・キャラクター
190814	サイクルウェア・アクセサリー
190815	自転車チャイルドシート
190816	電動自転車バッテリー
190817	スマホ自転車パーツ
190818	電動自転車_修理パーツ
190894	その他自転車パーツ
190895	自転車パーツアウトレット
190896	自転車パーツ　地域スポット
190897	自転車パーツ評価損A
190898	自転車パーツ評価損B
190899	クラス
190900	自転車保険
190901	ＴＳマーク
190902	サイクルパック
190994	その他自転車保険
190995	自転車保険アウトレット
190996	自転車保険　地域スポット
190997	自転車保険評価損A
190998	自転車保険評価損B
190999	クラス
191001	防犯登録
191100	修理
191101	サービス(工賃)
191102	タイヤ修理/取付/交換
191103	ブレーキ修理/取付/交換
191104	サドル・ペダル・チェーン修理/取付/交換
191105	ライト修理/取付/交換
191106	かぎ修理/取付/交換
191107	カゴ・子乗せ修理/取付/交換
191194	その他修理/取付/交換
191195	修理アウトレット
191196	修理　地域スポット
191197	修理評価損A
191198	修理評価損B
191199	クラス
192100	サイクル（8％）全般
192101	サイクル（8％）その他
192200	サイクル内税全般
192201	サイクル内税その他
192300	サイクル内税（8％）全般
192301	サイクル内税（8％）その他
192400	サイクル商品券全般
192401	サイクル商品券その他
196000	特務商品：サイクル
196095	特務商品：アウトレット
196096	特務商品：地域スポット
196097	特務商品：評価損A
196098	特務商品：評価損B
196099	クラス
198000	UNY統合用非課税
198100	UNY統合用8％外税
198200	UNY統合用8％内税
198300	UNY統合用10％外税
198400	UNY統合用10％内税
200100	筆記用品
200101	油性ボールペン
200102	ゲルインクボールペン
200103	ｼｬｰﾌﾟﾍﾟﾝｼﾙ
200104	鉛筆
200105	蛍光マーカー
200106	水性ペン
200107	油性ペン
200108	筆ペン
200109	ｼｬｰﾌﾟ替芯
200110	万年筆
200111	替芯・インク
200112	修正用品
200113	ペンケース
200114	多色･多機能筆記
200115	フリクション
200116	ジェットストリーム
200117	カスタマイズペン
200118	ﾀｯﾁﾍﾟﾝ
200194	その他筆記用品
200195	筆記用品アウトレット
200196	筆記用品　地域スポット
200197	筆記用品評価損A
200198	筆記用品評価損B
200199	クラス
200200	ノート
200201	キャンパス
200202	ノート（キャンパス以外）
200203	ルーズリーフ
200204	バインダーノート
200205	レポート用紙
200206	カバーノート
200207	ﾒﾓ
200208	手帳・リフィル
200209	付箋
200294	その他紙製品
200295	ノートアウトレット
200296	ノート　地域スポット
200297	ノート評価損A
200298	ノート評価損B
200299	クラス
200300	事務用品
200301	電子文具
200302	のり・接着剤
200303	テープ関連
200304	ステープラー（針有・無）
200305	はさみ・カッター・カットマット
200306	事務小物
200307	穴あけパンチ
200308	名札
200309	クリップボード
200310	金庫関連
200311	ボード関連
200312	印章関連
200313	ネーム9
200314	伝票・票帳
200315	封筒・便箋・レターセット
200316	ﾊﾞｯｸ関連
200317	コピー用紙
200318	ラミネーター・フィルム
200319	電動・ハンドシュレッダー
200320	OA･PC関連(消耗品)
200321	電卓
200322	アルバム
200323	額・フォトフレーム
200324	収納用品
200325	ｸﾘｯﾌﾟ･画鋲･安全ﾋﾟﾝ
200326	指ｻｯｸ
200327	ｸﾘｱﾎﾙﾀﾞｰ
200328	ｸﾘｱﾌｧｲﾙ
200329	ﾊﾟﾝﾁﾚｽﾌｧｲﾙ
200330	ﾘﾝｸﾞ･ﾁｭｰﾌﾞﾌｧｲﾙ
200331	その他ﾌｧｲﾙ
200332	梱包用品
200394	その他事務用品
200395	事務用品アウトレット
200396	事務用品　地域スポット
200397	事務用品評価損A
200398	事務用品評価損B
200399	クラス
200400	学童・幼児
200401	学童筆記・ペンケース
200402	学習帳・自由帳
200403	学用品
200404	画材・色えんぴつ
200405	書道
200406	幼児文具(室内)
200407	幼児文具(室外)
200408	知育文具
200409	ﾀﾌﾞﾚｯﾄ学習関連
200494	その他学童用品
200495	学童・幼児文具アウトレット
200496	学童・幼児文具　地域スポット
200497	学童・幼児文具評価損A
200498	学童・幼児文具評価損B
200499	クラス
200500	キャラ・バラエティー
200501	ディズニー
200502	サンリオ
200503	ノンキャラ文具
200504	ｼｰﾙ･ｽﾃｯｶｰ
200505	バラエティー文具
200506	ｻﾝｴｯｸｽ
200507	ｱﾆﾒ･ﾏﾝｶﾞ文具
200594	その他キャラ文具
200595	キャラ・バラエティ文具アウトレット
200596	キャラ・バラエティ文具　地域スポット
200597	キャラ・バラエティ文具評価損A
200598	キャラ・バラエティ文具評価損B
200599	クラス
200600	コミュニケーションツール用品
200601	祝儀・不祝儀袋
200602	ラッピング用品
200603	色紙
200604	メッセージ・ポストカード
200605	デコ用品
200606	ﾏｽｷﾝｸﾞﾃｰﾌﾟ
200694	その他コミュニケーションツール
200695	コミュニケーションツールアウトレット
200696	コミュニケーションツール　地域スポット
200697	コミュニケーションツール評価損A
200698	コミュニケーションツール評価損B
200699	クラス
200700	季節品
200701	秋手帳
200702	カレンダー
200703	バレンタイン用品
200704	新入学
200705	春手帳
200706	夏工作
200707	季節ｶｰﾄﾞ
200708	七夕
200709	ハロウィン用品
200710	X’masラッピング
200711	X’masカード
200712	プリント年賀状
200713	年賀状印刷代
200714	ポチ袋
200715	年賀小物
200716	お楽しみ袋
200717	ビー
200794	その他文具季節品
200795	文具季節品アウトレット
200796	文具季節品　地域スポット
200797	文具季節品評価損A
200798	文具季節品評価損B
200799	クラス
200800	その他文具
200801	ﾃﾚﾜｰｸ(ﾃｰﾌﾞﾙ･ﾃﾞｽｸ)
200802	ﾃﾚﾜｰｸ(ﾗｯｸ)
200803	ﾃﾚﾜｰｸ(ﾁｪｱ)
200804	ﾃﾚﾜｰｸ小物
200805	ｵﾌｨｽ用品
200806	注文販売
200895	その他文具アウトレット
200896	その他文具　地域スポット
200897	その他文具評価損A
200898	その他文具評価損B
200899	クラス
200900	自動販売機
200901	自動販売機
200994	その他自動販売機
200995	自動販売機アウトレット
200996	自動販売機　地域スポット
200997	自動販売機評価損A
200998	自動販売機評価損B
200999	クラス
201000	切手・はがき
201001	切手・はがき
201002	切手類販売手数料
201094	その他切手・はがき
201095	切手・はがきアウトレット
201096	切手・はがき　地域スポット
201097	切手・はがき評価損A
201098	切手・はがき評価損B
201099	クラス
201100	トレンド雑貨
201101	トレンド小物
201102	トレンド企画
201103	トレンド催事
201104	スキンアート
201107	300均ヘアアクセ
201108	ﾄﾚﾝﾄﾞﾍｱｱｸｾ（単品）
201109	キッズヘアアクセ
201111	DEMONZAKKAヘアアクセ
201112	ボルケイノヘアアクセ
201113	ｻﾝｽﾏｲﾙﾍｱｱｸｾ
201114	西田ヘアアクセ
201115	定番外ヘアアクセ
201116	改廃ヘアアクセ
201117	エンジェルナンバー
201118	ｽﾎﾟｰﾂﾌﾞﾗﾝﾄﾞｱｸｾ
201120	（旧）トレンド企画
201200	服飾小物（レディース）
201201	レディース帽子
201202	レディースベルト
201203	レディース財布
201205	レディースバック
201206	【定番】ﾚﾃﾞｨｰｽ帽子
201207	【定番】ﾚﾃﾞｨｰｽ財布
201208	【定番】ﾚﾃﾞｨｰｽﾊﾞｯｸﾞ
201209	【定番】ﾚﾃﾞｨｰｽﾊﾝｶﾁ
201210	【定番】小物・ポーチ
201211	エコバッグ
201212	ポーチ
201213	ブランド
201214	その他レディスバック
201215	ハンカチ
201216	企画・催事
201217	ファブリック小物
201288	ロス＆ハニーレディース服飾
201295	服飾小物(レディース）アウトレット
201296	服飾小物(レディース）地域スポット
201297	服飾小物(レディース）評価損　A
201298	服飾小物(レディース）評価損　B
201299	クラス
202100	工具
202101	電動ドライバー
202102	電動鋸
202103	電動ｸﾞﾗｲﾝﾀﾞｰ
202104	電動ｻﾝﾀﾞｰ･ｶｯﾄｿｰ
202105	電動ｼﾞｸﾞｿｰ･丸鋸
202106	発電機
202107	洗浄機
202108	その他電動工具
202109	ﾄﾞﾗｲﾊﾞｰ
202110	ﾚﾝﾁ
202111	ﾍﾟﾝﾁ
202112	刃物
202113	ｾｯﾄ工具
202114	工具袋
202115	ﾊﾝﾏｰ･ﾊﾞｰﾙ
202116	ｺﾝﾍﾞｯｸｽ
202117	水平器
202118	その他測定
202119	ﾈｼﾞ･ｸｷﾞ
202120	その他金物
202121	錠
202123	ｶﾗﾋﾞﾅ
202124	ﾌｯｸ小物
202194	その他工具
202195	工具アウトレット
202196	工具　地域スポット
202197	工具評価損A
202198	工具評価損B
202199	クラス
202200	接着・補修
202201	接着剤
202202	両面テープ
202203	高機能ﾃｰﾌﾟ
202204	ﾃｰﾌﾟ
202205	養生ﾃｰﾌﾟ
202206	ｸﾘｰﾅｰ
202207	研磨剤
202208	室内補修
202209	屋外補修用品
202210	内装材
202211	障子紙･のり
202212	梱包用品
202213	ひも
202214	緩衝材
202215	塗装用品
202216	ﾍﾟﾝｷ
202217	ﾗｯｶｰ
202294	その他接着・補修
202295	接着・補修アウトレット
202296	接着・補修　地域スポット
202297	接着・補修評価損A
202298	接着・補修評価損B
202299	クラス
202300	手袋
202301	軍手
202302	ウレタン背抜き　手袋
202303	ニトリル背抜き　手袋
202304	ゴム背抜き　手袋
202305	革ＰＵ　手袋
202306	オールコート　手袋
202307	ディスポ　手袋
202308	その他　手袋
202309	春夏 手袋
202310	秋冬 手袋
202394	その他手袋
202395	手袋アウトレット
202396	手袋 地域スポット
202397	手袋評価損A
202398	手袋評価損B
202399	クラス
202400	その他大工
202401	ｼｰﾄ
202402	ﾛｰﾌﾟ
202403	運搬
202404	収納
202405	脚立･踏み台
202406	ﾏｯﾄ
202407	その他作業用品
202408	水栓ﾊﾟｰﾂ
202409	防水ｽﾌﾟﾚｰ
202410	ｹｱ用品
202411	ｶﾞｰﾃﾞﾝ用品
202412	安全用品
202413	住設･物置
202414	木材･建材
202415	大工雑貨
202416	その他大工
202417	季節品
202418	春夏季節
202419	秋冬季節
202420	独創販売
202421	地域ｽﾎﾟｯﾄ商談:大
202422	長崎屋:第2大工特別
202495	その他大工アウトレット
202496	その他大工　地域スポット
202497	その他大工評価損A
202498	その他大工評価損B
202499	クラス
202500	防犯・防災用品
202501	転倒防止用品
202502	避難用品
202503	防災ｾｯﾄ用品
202504	ﾜｰｸﾗｲﾄ
202505	LEDﾗｲﾄ
202506	ﾍｯﾄﾞﾗｲﾄ
202507	ｾﾝｻｰﾗｲﾄ
202508	投光器
202509	その他ﾜｰｸﾗｲﾄ
202594	その他防犯・防災用品
202595	防犯・防災用品アウトレット
202596	防犯・防災用品　地域スポット
202597	防犯・防災用品評価損A
202598	防犯・防災用品評価損B
202599	クラス
206000	特務商品：ステーショナリー
206095	特務商品：アウトレット
206096	特務商品：地域スポット
206097	特務商品：評価損A
206098	特務商品：評価損B
206099	クラス
206100	海外買付：ステーショナリー
206101	海外買付：ステーショナリー
208000	UNY統合用非課税
208100	UNY統合用8％外税
208200	UNY統合用8％内税
208300	UNY統合用10％外税
208400	UNY統合用10％内税
210101	【カーモバ】ＤＣ充電器 Lightning
210102	【カーモバ】ＤＣ充電器 Type‐C
210103	【カーモバ】ＤＣ充電器 マルチ
210104	【カーモバ】ＤＣ充電器 その他
210105	【カーモバ】ＤＣ充電器 USB
210106	【カーモバ】ダイレクトソケット
210107	【カーモバ】セパレートソケット
210108	【カーモバ】インバーター/コンバーター
210109	【カーモバ】ワイヤレス充電ホルダー
210110	【カーモバ】車載ホルダー
210111	【カーモバ】FMT/AUX
210112	【カーモバ】モノラルイヤホン
210113	【カーモバ】モバイルスピーカー
210115	【アクセ】ドリンクホルダー
210116	【アクセ】灰皿
210117	【アクセ】光物
210118	【アクセ】ソケット
210119	【アクセ】ゴミ箱
210120	【アクセ】ミラー
210121	【アクセ】滑り止め
210122	【アクセ】車内小物
210123	【アクセ】外装
210124	【アクセ】フィルム
210125	【アクセ】サンバイザー
210126	【アクセ】キー(ケース・ ホルダー)
210127	【アクセ】ステッカー
210128	【アクセ】旧ウーファー
210129	【アクセ】車用電子タバコ関連
210132	キャラクター
210133	【アクセ】ドラレコ
210134	【アクセ】スピーカー
210135	【アクセ】車載モニター
210136	【アクセ】ウーファー
210137	【アクセ】カーレーダー
210138	【アクセ】カーナビゲーション
210139	【アクセ】ディスプレイオーディオ
210140	【アクセ】電動(その他)
210151	【インテ】馬蹄ｸｯｼｮﾝ
210152	【インテ】ｼﾝｸﾞﾙｸｯｼｮﾝ
210153	【インテ】ﾀﾞﾌﾞﾙｸｯｼｮﾝ
210154	【インテ】その他ｸｯｼｮﾝ
210155	【インテ】ﾈｯｸｻﾎﾟｰﾄ
210156	【インテ】ﾗﾝﾊﾞｰｻﾎﾟｰﾄ
210157	【インテ】ﾊﾝﾄﾞﾙｶﾊﾞｰ
210158	【インテ】車内小物(糸物)
210159	【インテ】ｼｰﾄｶﾊﾞｰ
210160	【インテ】ﾌﾛｱｰﾏｯﾄ
210161	【インテ】ﾀﾞｯｼｭﾎﾞｰﾄﾞﾏｯﾄ
210162	【インテ】ｶｰﾃﾝ
210163	【インテ】ｺﾝｿｰﾙ
210164	【カー雑貨】キーホルダー
210165	【カー雑貨】ステッカー・プレート
210166	【カー雑貨】パチンコ・スロット
210167	【カー雑貨】その他カーバラエティ雑貨
210187	UNYその他
210194	車内用品 その他
210195	車内用品 アウトレット
210196	車内用品 地域スポット
210197	車内用品 評価損 Ａ
210198	車内用品 評価損 Ｂ
210199	クラス
210300	車用芳香剤
210301	置き型液体
210302	置き型液体（カーメイト）
210303	置き型液体（晴香堂）
210304	置き型固形
210305	置き型固形（カーメイト）
210306	置き型固形（晴香堂）
210307	置き型固形（ダイヤケミカル）
210308	置き型固形（栄光社）
210309	置き型消臭剤固形
210310	ＡＣクリップ
210311	ＡＣクリップ（ファブリーズ）
210312	ＡＣクリップ(香水・柔軟剤)
210313	ＡＣクリップ(カーメイト)
210314	ＡＣクリップ(晴香堂)
210315	ＡＣクリップ(ダイヤケミカル)
210316	ＡＣクリップ(栄光社)
210317	ＡＣクリップ(エステー)
210318	ＡＣクリップ(スペア)
210319	吊り下げ
210320	スプレー芳香剤
210321	スプレー消臭剤
210330	空気清浄機
210331	ディフューザー・オイル
210332	キャラクター
210349	CBD
210387	UNYその他
210394	その他車用芳香剤
210395	車用芳香剤アウトレット
210396	車用芳香剤地域スポット
210397	車用芳香剤 評価損 Ａ
210398	車用芳香剤 評価損 Ｂ
210399	クラス
210800	カー季節品
210801	サンシェード・日除け
210802	車用扇風機
210803	冷温庫
210810	その他夏季季節品
210811	解氷スプレー
210812	寒冷地用ウォッシャー
210813	静電気除去商品
210814	防寒グローブ
210815	チェーン
210816	雪かきブラシ
210817	冬用ワイパー
210825	その他冬季季節品
210887	UNYその他
210894	その他カー季節品
210895	カー季節品アウトレット
210896	カー季節品地域スポット
210897	カー季節品 評価損 A
210898	カー季節品 評価損 B
210899	クラス
210900	その他カー用品
210901	福袋関連
210987	UNYその他
210995	その他カー用品アウトレット
210996	その他カー用品　地域スポット
210997	その他カー用品評価損A
210998	その他カー用品評価損B
210999	クラス
211101	【洗車】洗車用シート（ボディ）
211102	【洗車】洗車シート（ガラス）
211103	【洗車】洗車クロス（車外）
211104	【洗車】洗車クロス（車内）
211105	【洗車】ブラシ・スポンジ
211106	【洗車】シャンプー
211107	【洗車】クリーナー
211108	【洗車】コンパウンド・傷消し
211109	【洗車】ワックス
211110	【洗車】コーティング剤
211111	【洗車】ウィンドウケミカル
211112	【洗車】サイドミラー
211113	【洗車】タイヤ（ケミカル）
211114	【洗車】ホイール（ケミカル）
211115	【洗車】ウォッシャー液
211116	【洗車】ワイパー
211117	【洗車】潤滑剤
211118	【洗車】車内掃除機
211124	【保安】バルブ定番
211125	【保安】バルブスポット
211126	【保安】ホーン定番
211127	【保安】ホーンスポット
211128	【保安】保安用品定番
211129	【保安】保安用品スポット
211130	【保安】補修用品定番
211131	【保安】エーモン定番
211132	【車外、バイク】キャラクター
211133	【保安】バッテリー定番
211134	【保安】バッテリー関連商品スポット
211135	【保安】2輪オイル 2サイクル
211136	【保安】2輪オイル 4サイクル
211137	【保安】4輪オイル
211138	【保安】添加剤(燃料)
211139	【保安】添加剤(オイル)
211140	【保安】その他オイル
211141	【保安】その他パーツ工具定番
211142	【保安】その他パーツ工具スポット
211143	【保安】その他機器関連
211144	【保安】タイヤ
211145	【保安】ホイール
211146	【保安】その他タイヤ・ホイール
211151	【バイク】ﾊﾞｲｸｶﾊﾞｰ
211152	【バイク】ﾊﾞｲｸﾛｯｸ
211153	【バイク】ﾊﾞｲｸｸﾞﾛｰﾌﾞ
211154	【バイク】ﾊﾞｲｸﾐﾗｰ
211155	【バイク】ﾊﾞｲｸ用ﾚｲﾝｺｰﾄ
211156	【バイク】その他ﾊﾞｲｸ用品定番
211157	【バイク】バイク用品スポット
211158	【バイク】２輪バッテリー定番
211159	【バイク】半キャップ
211160	【バイク】コルク
211161	【バイク】ダックテール
211162	【バイク】ヴィンテージ
211163	【バイク】フルフェイス
211164	【バイク】スモールジェット
211165	【バイク】セミジェット
211166	【バイク】ジェットヘルメット
