	小分類名
30209	韓国焼酎
30210	甲乙混和焼酎
30211	麦焼酎
30212	芋焼酎
30213	米焼酎
30214	泡盛
30215	その他原料焼酎
30216	サワーの素、コンク
30217	国産リキュール
30218	梅酒
30219	マッコリ
30220	CBD和酒
30295	和酒アウトレット
30296	和酒地域スポット
30297	和酒評価損 A
30298	和酒評価損 B
30299	クラス
30300	ワイン
30301	国産ワイン小容量
30302	国産ワイン中容量
30303	国産ワイン大容量
30304	輸入ワイン小容量
30305	輸入ワイン中容量
30306	輸入ワイン大容量
30307	シャンパーニュ
30308	スパークリングワイン
30309	フルーツスパークリングワイン
30310	缶ワイン
30311	並行輸入ワイン
30312	ボジョレー・ヌーヴォー
30313	CBDワイン
30395	ワインアウトレット
30396	ワイン地域スポット
30397	ワイン評価損　A
30398	ワイン評価損　B
30399	クラス
30400	洋酒
30401	国産ウィスキー小容量
30402	国産ウィスキー中容量
30403	国産ウィスキー大容量
30404	輸入ウィスキー小容量
30405	輸入ウィスキー中容量
30406	輸入ウィスキー大容量
30407	ブランデー
30408	ジン
30409	ラム
30410	テキーラ
30411	ウォッカ
30412	その他スピリッツ
30413	輸入リキュール
30414	並行輸入洋酒
30415	CBD洋酒
30418	中国酒
30495	洋酒アウトレット
30496	洋酒地域スポット
30497	洋酒評価損　A
30498	洋酒評価損　B
30499	クラス
30500	RTD
30501	RTDバラ
30502	RTD6缶
30503	RTDケース
30504	RTDその他まとめ売り
30505	RTD瓶
30506	CBDRTD
30595	RTDアウトレット
30596	RTD地域スポット
30597	RTD評価損　A
30598	RTD評価損　B
30599	クラス
30600	割材・ノンアルコール
30601	ノンアルコールビール
30602	ノンアルコールチューハイ
30603	ノンアルコールその他
30604	炭酸水
30605	割材
30606	CBDノンアル
30607	瓶・樽
30695	割材・ノンアルコールアウトレット
30696	割材・ノンアルコール地域スポット
30697	割材・ノンアルコール評価損　A
30698	割材・ノンアルコール評価損　B
30699	クラス
30700	瓶・樽回収
30795	高額酒アウトレット
30796	高額酒地域スポット
30797	高額酒評価損　A
30798	高額酒評価損　B
30799	クラス
30800	酒小物
30801	酒小物
30802	瓶・樽
30898	酒小物評価損B
30900	酒未定義
30998	酒未定義評価損B
36000	特務商品：リカー＆ワイン
36098	特務商品：リカー＆ワイン評価損B
38000	UNY統合用非課税
38100	微アルコール
38200	UNY統合用8％内税
38300	UNY統合用10％外税
38400	UNY統合用10％内税
40100	温惣菜・冷惣菜
40101	フライバラ
40102	フライパック
40103	コロッケバラ
40104	コロッケパック
40105	魚貝フライ
40106	畜肉フライ
